,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
341,341,Santa Maria,BR,2022-03-23 20:38:36,-29.6842,-53.8069,76.3,73,75,5.75
342,342,Calvinia,ZA,2022-03-23 20:43:34,-31.4707,19.776,66.79,55,72,2.91
348,348,Houma,US,2022-03-23 20:43:36,29.5958,-90.7195,69.01,44,0,13.8
350,350,Son La,VN,2022-03-23 20:43:37,21.3167,103.9,65.37,97,100,3.24
351,351,Geraldton,AU,2022-03-23 20:43:38,-28.7667,114.6,72.01,37,29,2.3
358,358,Coquimbo,CL,2022-03-23 20:43:40,-29.9533,-71.3436,67.73,63,0,13.8
363,363,Sao Filipe,CV,2022-03-23 20:43:42,14.8961,-24.4956,70.27,75,2,9.1
364,364,Pekan,MY,2022-03-23 20:43:43,3.4836,103.3996,75.31,87,99,4.43
365,365,Bacolod,PH,2022-03-23 20:43:43,10.6667,122.95,78.4,80,4,7.18
370,370,Wewak,PG,2022-03-23 20:44:45,-3.5534,143.6268,78.64,86,100,3.96
372,372,Ipora,BR,2022-03-23 20:44:46,-16.4419,-51.1178,77.86,76,6,4.36
373,373,Barreiras,BR,2022-03-23 20:44:46,-12.1528,-44.99,79.81,65,98,3.31
385,385,Gold Coast,AU,2022-03-23 20:44:51,-28.0,153.4333,73.04,94,100,4.61
386,386,Keti Bandar,PK,2022-03-23 20:44:51,24.1447,67.4497,75.97,65,0,16.2
401,401,Kahului,US,2022-03-23 20:44:58,20.8947,-156.47,78.96,73,40,17.27
404,404,Taltal,CL,2022-03-23 20:44:59,-25.4,-70.4833,69.39,69,3,8.63
405,405,Bubaque,GW,2022-03-23 20:44:59,11.2833,-15.8333,74.84,73,61,12.46
408,408,Bahile,PH,2022-03-23 20:45:01,9.9995,118.7878,76.35,87,7,2.28
409,409,Kununurra,AU,2022-03-23 20:45:01,-15.7667,128.7333,78.78,100,98,4.61
411,411,Islamkot,PK,2022-03-23 20:45:02,24.6997,70.177,71.71,59,0,12.1
413,413,Talagang,PK,2022-03-23 20:44:33,32.9297,72.4158,69.8,25,1,1.81
422,422,Pisco,PE,2022-03-23 20:43:11,-13.7,-76.2167,77.05,57,0,20.71
